u,v,color
v0,v1,black!40
v0,v2,black!40
v0,v3,black!40
v0,v4,black!40
v0,v5,black!40
v0,v6,black!40
v0,v7,black!40
v0,v8,black!40
v0,v10,black!40
v0,v11,black!40
v0,v12,black!40
v0,v13,black!40
v0,v17,black!40
v0,v19,black!40
v0,v21,black!40
v0,v31,black!40
v1,v2,black!40
v1,v3,black!40
v1,v7,black!40
v1,v13,black!40
v1,v17,black!40
v1,v19,black!40
v1,v21,black!40
v1,v30,black!40
v2,v3,black!40
v2,v7,black!40
v2,v8,black!40
v2,v9,black!40
v2,v13,black!40
v2,v27,black!40
v2,v28,black!40
v2,v32,black!40
v3,v7,black!40
v3,v12,black!40
v3,v13,black!40
v4,v6,black!40
v4,v10,black!40
v5,v6,black!40
v5,v10,black!40
v5,v16,black!40
v6,v16,black!40
v8,v30,black!40
v8,v32,black!40
v8,v33,black!40
v9,v33,black!40
v13,v33,black!40
v14,v32,black!40
v14,v33,black!40
v15,v32,black!40
v15,v33,black!40
v18,v32,black!40
v18,v33,black!40
v19,v33,black!40
v20,v32,black!40
v20,v33,black!40
v22,v32,black!40
v22,v33,black!40
v23,v25,black!40
v23,v27,black!40
v23,v29,black!40
v23,v32,black!40
v23,v33,black!40
v24,v25,black!40
v24,v27,black!40
v24,v31,black!40
v25,v31,black!40
v26,v29,black!40
v26,v33,black!40
v27,v33,black!40
v28,v31,black!40
v28,v33,black!40
v29,v32,black!40
v29,v33,black!40
v30,v32,black!40
v30,v33,black!40
v31,v32,black!40
v31,v33,black!40
v32,v33,black!40
