id, x, y, color
v0, -0.480, -0.111, blue
v1, -0.342, 0.056, gray
v2, -0.105, 0.126, blue
v3, -0.500, 0.155, gray
v4, -0.752, -0.407, blue
v5, -0.769, -0.601, blue
v6, -0.642, -0.623, gray
v7, -0.411, 0.255, red
v8, 0.088, -0.063, blue
v9, 0.227, 0.583, gray
v10, -0.934, -0.457, gray
v11, -1.000, -0.042, gray
v12, -0.826, 0.373, blue
v13, -0.157, -0.025, gray
v14, 0.857, 0.219, blue
v15, 0.521, -0.272, blue
v16, -0.831, -0.930, gray
v17, -0.847, -0.136, gray
v18, 0.921, -0.254, blue
v19, -0.234, 0.275, gray
v20, 0.988, -0.034, red
v21, -0.783, 0.130, gray
v22, 0.829, 0.037, red
v23, 0.626, 0.196, blue
v24, 0.555, 0.659, blue
v25, 0.561, 0.426, blue
v26, 0.763, -0.397, blue
v27, 0.410, 0.364, gray
v28, 0.123, 0.390, blue
v29, 0.721, -0.146, gray
v30, 0.192, -0.047, gray
v31, 0.285, 0.245, gray
v32, 0.524, 0.006, gray
v33, 0.423, 0.050, red
